userid,orderType
100000000371 ,0.010392957367002900 
100000001215 ,0.003702150890603660 
100000001445 ,0.020014245063066400 
100000001575 ,0.999692320823669000 
100000001601 ,0.000522236514370888 
100000001737 ,0.999804913997650000 
100000001829 ,0.005657788831740610 
100000002055 ,0.001367395510897040 
100000002241 ,0.027324162423610600 
100000003067 ,0.002191870473325250 
100000004161 ,0.998634397983551000 
100000004307 ,0.005095963366329660 
100000004855 ,0.999305248260498000 
100000005055 ,0.000080397679994348 
100000005701 ,0.020437825471162700 
100000006247 ,0.002597497776150700 
100000006327 ,0.062147263437509500 
100000006333 ,0.011624295264482400 
100000006397 ,0.003978821914643040 
100000007397 ,0.628057003021240000 
100000007525 ,0.779514133930206000 
100000007951 ,0.021939545869827200 
100000007955 ,0.080339819192886300 
100000008131 ,0.000618243007920682 
100000008427 ,0.022609282284975000 
100000008745 ,0.000742285687010735 
100000009049 ,0.022719429805874800 
100000009197 ,0.352088093757629000 
100000009419 ,0.070920310914516400 
100000009629 ,0.002989580854773520 
100000009961 ,0.999156951904296000 
100000010157 ,0.992935955524444000 
100000011403 ,0.001543697086162860 
100000012993 ,0.034330468624830200 
100000013089 ,0.873937249183654000 
100000013205 ,0.086169853806495600 
100000013455 ,0.015292260795831600 
100000013591 ,0.046007566154003100 
100000013861 ,0.000191742772585712 
100000014191 ,0.049848299473524000 
100000014963 ,0.017701774835586500 
100000015053 ,0.002315130550414320 
100000015077 ,0.997735977172851000 
100000015351 ,0.795715808868408000 
100000015659 ,0.999265849590301000 
100000016411 ,0.002744275378063320 
100000016637 ,0.002279199194163080 
100000016665 ,0.001686686417087910 
100000016715 ,0.004701566416770210 
100000016843 ,0.004274641163647170 
100000017191 ,0.029252421110868400 
100000017255 ,0.000341685721650719 
100000017517 ,0.047156907618045800 
100000017533 ,0.012335246428847300 
100000018131 ,0.996190786361694000 
100000018141 ,0.047353222966194100 
100000018219 ,0.001512992428615680 
100000018439 ,0.095368042588233900 
100000018651 ,0.001169361639767880 
100000018843 ,0.197597965598106000 
100000019085 ,0.098273925483226700 
100000019503 ,0.010259853675961400 
100000019777 ,0.010833594016730700 
100000019831 ,0.047156423330307000 
100000019875 ,0.826218426227569000 
100000020599 ,0.114168338477611000 
100000020705 ,0.053474046289920800 
100000020839 ,0.068253032863140100 
100000021007 ,0.012526911683380600 
100000021741 ,0.004222601652145380 
100000023031 ,0.183736264705657000 
100000023341 ,0.004113662987947460 
100000023847 ,0.000848111114464700 
110020671228 ,0.997634053230285000 
110100014968 ,0.087506577372550900 
110100016420 ,0.165627494454383000 
110100016422 ,0.007830093614757060 
110100018261 ,0.132002636790275000 
110100035666 ,0.024880638346076000 
110100073025 ,0.014759785495698400 
110100073927 ,0.999586641788482000 
110100116029 ,0.001247047097422180 
110100133766 ,0.016489699482917700 
110100171523 ,0.002577017061412330 
110100173226 ,0.386059671640396000 
110100218469 ,0.013507981784641700 
110100235669 ,0.002764583798125380 
110100316927 ,0.032390441745519600 
110100335267 ,0.000562304048798978 
110100371520 ,0.142515540122985000 
110100373224 ,0.013274830766022200 
110100412425 ,0.230794847011566000 
110100418260 ,0.000101514873676933 
110100418567 ,0.916066110134124000 
110100471522 ,0.034210555255413000 
110100471527 ,0.001562383607961230 
110100473324 ,0.063668623566627500 
110100512827 ,0.008482331410050390 
110100514267 ,0.007937742397189140 
110100516521 ,0.007325128652155390 
110100516723 ,0.134466111660003000 
110100516929 ,0.999966740608215000 
110100535662 ,0.415152013301849000 
110100573222 ,0.377308785915374000 
110100573627 ,0.010236444883048500 
110100614362 ,0.076424375176429700 
110100614562 ,0.999911546707153000 
110100618862 ,0.003773407079279420 
110100635761 ,0.011324437335133500 
110100673622 ,0.757567644119262000 
110100673828 ,0.013149402104318100 
110100735369 ,0.238851398229598000 
110100816922 ,0.008502997457981100 
110100818367 ,0.379018753767013000 
110100835466 ,0.172328442335128000 
110100835868 ,0.117677740752696000 
